Country,"MIN(`Life expectancy`)","MAX(`Life expectancy`)",Life_Increase_15_Years
Nigeria,47.1,59,11.9
Niger,50,69,19
Nicaragua,71,76,5
"New Zealand",78.5,89,10.5
Netherlands,78.1,88,9.9
Nepal,62.5,69.6,7.1
Namibia,54.7,66.1,11.4
Myanmar,59.2,66.6,7.4
Mozambique,49,58,9
Morocco,68.6,77,8.4
Montenegro,73,76.1,3.1
Mongolia,62.8,68.8,6
"Micronesia (Federated States of)",66.2,69.4,3.2
Mexico,74.8,76.7,1.9
Mauritius,71,74.6,3.6
Mauritania,60,69,9
Malta,77.5,87,9.5
Mali,49.8,58.2,8.4
Maldives,69.6,78.5,8.9
Malaysia,72.4,75,2.6
Malawi,43.1,58.3,15.2
Madagascar,57.9,69,11.1
Luxembourg,77.8,88,10.2
Lithuania,71.1,78,6.9
Libya,71,78,7
Liberia,50,67,17
Lesotho,44.5,53.7,9.2
Lebanon,72.7,75,2.3
Latvia,69.9,78,8.1
"Lao People's Democratic Republic",58.1,65.7,7.6
Kyrgyzstan,66.6,78,11.4
Kuwait,73.2,74.7,1.5
Kiribati,64.1,66.3,2.2
Kenya,51.9,63.4,11.5
Kazakhstan,63.9,72,8.1
Jordan,71.7,74.1,2.4
Japan,81.1,83.7,2.6
Jamaica,72.6,76.2,3.6
Italy,79.4,89,9.6
Israel,78.9,84,5.1
Ireland,76.4,86,9.6
Iraq,64.7,77,12.3
"Iran (Islamic Republic of)",71.2,78,6.8
Indonesia,65.3,69.1,3.8
India,62.5,68.3,5.8
Iceland,79.7,88,8.3
Hungary,71.7,75.8,4.1
Honduras,71,74.6,3.6
Haiti,36.3,65,28.7
Guyana,65,66.3,1.3
Guinea-Bissau,52.1,58.9,6.8
Guinea,52.5,59,6.5
Guatemala,67.7,79,11.3
Grenada,71.1,79,7.9
Greece,78.2,88,9.8
Ghana,57.2,69,11.8
Germany,78,89,11
Georgia,71.7,74.5,2.8
Gambia,55.9,68,12.1
Gabon,59.7,66,6.3
France,78.8,89,10.2
Finland,77.5,89,11.5
Fiji,67.7,69.9,2.2
Ethiopia,51.2,68,16.8
Estonia,71.2,78,6.8
Eritrea,45.3,67,21.7
"Equatorial Guinea",52.7,58.2,5.5
"El Salvador",68.9,75,6.1
Egypt,68.6,79,10.4
Ecuador,72.8,76.2,3.4
"Dominican Republic",69.3,73.9,4.6
Djibouti,57.4,69,11.6
Denmark,76.9,86,9.1
"Democratic Republic of the Congo",51.3,59.8,8.5
"Democratic People's Republic of Korea",65.4,76,10.6
Czechia,74.7,78.8,4.1
Cyprus,78.1,85,6.9
Cuba,76.7,79.1,2.4
Croatia,74.7,78,3.3
"Costa Rica",77.5,79.6,2.1
Congo,52.6,68,15.4
Comoros,59.5,66,6.5
Colombia,71.4,74.8,3.4
China,71.7,76.1,4.4
Chile,77.3,85,7.7
Chad,47.6,57,9.4
"Central African Republic",45.6,58,12.4
Canada,79.1,87,7.9
Cameroon,51.4,57.3,5.9
Cambodia,57.7,68.7,11
"Cabo Verde",69.9,77,7.1
"C̫te d'Ivoire",47.7,54,6.3
Burundi,51.3,59.6,8.3
"Burkina Faso",51,59.9,8.9
Bulgaria,71.1,74.5,3.4
"Brunei Darussalam",74.4,78.3,3.9
Brazil,71,75,4
Botswana,46,65.7,19.7
"Bosnia and Herzegovina",74.6,77.4,2.8
"Bolivia (Plurinational State of)",62.6,77,14.4
Bhutan,61.7,69.8,8.1
Benin,55.4,60,4.6
Belize,68.2,71,2.8
Belgium,77.6,89,11.4
Belarus,67.2,73,5.8
Barbados,73.3,75.5,2.2
Bangladesh,65.3,77,11.7
Bahrain,74.5,76.9,2.4
Bahamas,72.6,76.1,3.5
Azerbaijan,66.6,78,11.4
Austria,78.1,88,9.9
Australia,79.5,86,6.5
Armenia,72,74.8,2.8
Argentina,74,76.3,2.3
"Antigua and Barbuda",73.6,76.4,2.8
Angola,45.3,56,10.7
Algeria,71.3,75.6,4.3
Albania,72.6,77.8,5.2
Afghanistan,54.8,65,10.2
